TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
16881,105,27077,0.64,136,75,1434,17832,40,36763,0.58,205,149,1335,15162,149,40049,0.5,100,100,1000,15509,94,32066,0.54,246,208,1232,13964,70,29908,0.65,148,81,1179,13755,20,34591,0.55,361,299,1656,15604,135,28823,0.5,100,100,1000,19470,53,26250,0.55,296,241,1195,8922,98,12182,0.52,295,267,970,9545,84,7210,0.56,224,178,1019,0
7827,38,15521,0.5,100,100,1000,9991,21,22757,0.5,100,100,1000,7923,47,6916,0.5,100,100,1000,9883,86,15545,0.56,156,122,1098,8471,162,13395,0.5,100,100,1000,9553,126,8195,0.5,100,100,1000,7025,54,13898,0.5,100,100,1000,11111,71,23008,0.5,100,100,1000,4805,102,6661,0.5,100,100,1000,7645,78,3550,0.52,432,401,1007,0
14414,3,33696,0.56,211,167,1234,17698,117,30536,0.6,201,132,1639,21825,77,54221,0.56,198,157,1324,12557,38,26468,0.57,221,168,1802,13211,2,24601,0.56,175,137,1330,19218,96,33712,0.55,219,177,1088,16247,9,27709,0.54,328,280,1377,14595,20,22613,0.52,419,380,1212,9822,98,9297,0.54,233,196,1147,10785,110,11965,0.56,188,147,1195,1
6401,48,9458,0.5,100,100,1000,10555,36,16725,0.5,100,100,1000,6869,38,8120,0.55,240,200,1192,9146,47,6746,0.5,100,100,1000,8100,127,10059,0.5,100,100,1000,10675,20,15183,0.63,112,66,999,7513,50,8561,0.52,451,415,1199,9007,138,13085,0.54,325,280,1316,5431,110,7016,0.5,100,100,1000,7141,141,13619,0.5,100,100,1000,0
14285,38,19391,0.5,100,100,1000,11943,48,16850,0.57,149,112,1080,13804,56,32502,0.5,100,100,1000,14484,143,17045,0.54,371,316,1575,12191,49,26417,0.5,100,100,1000,11820,123,15348,0.5,100,100,1000,12339,51,14996,0.53,349,314,1194,16013,9,30538,0.5,100,100,1000,7769,130,5958,0.53,424,382,1116,9023,78,4252,0.5,100,100,1000,0
9793,90,16460,0.5,100,100,1000,6757,37,11914,0.5,100,100,1000,7812,149,11305,0.5,100,100,1000,6598,24,9034,0.54,250,213,1320,10419,123,15329,0.5,100,100,1000,6171,52,9961,0.5,100,100,1000,8155,150,8666,0.5,100,100,1000,6313,131,8718,0.5,100,100,1000,5498,17,4823,0.5,100,100,1000,4297,15,4019,0.5,100,100,1000,1
9811,117,12581,0.56,190,150,1043,11745,49,20938,0.5,100,100,1000,13642,27,26949,0.5,100,100,1000,11432,41,11009,0.5,100,100,1000,13543,134,18465,0.5,100,100,1000,13117,73,29969,0.5,100,100,1000,11922,51,22576,0.5,100,100,1000,12880,159,30910,0.55,243,198,1076,7338,84,6686,0.5,100,100,1000,8072,161,6901,0.5,100,100,1000,0
10261,32,17291,0.5,100,100,1000,9796,112,22132,0.5,100,100,1000,17785,39,31362,0.62,147,90,1014,12241,47,17985,0.5,100,100,1000,11334,55,17976,0.5,100,100,1000,12531,138,27102,0.5,100,100,1000,18098,131,44671,0.5,100,100,1000,12970,139,21739,0.5,100,100,1000,9092,130,8068,0.5,100,100,1000,7086,15,6519,0.5,100,100,1000,1
6845,48,9250,0.5,100,100,1000,9230,36,9398,0.5,100,100,1000,11047,62,17046,0.5,100,100,1000,7757,144,5104,0.5,100,100,1000,9983,2,10860,0.5,100,100,1000,9450,40,5915,0.53,251,221,953,14765,159,26280,0.54,274,232,1101,7711,150,9665,0.54,301,252,1013,8351,78,3470,0.5,100,100,1000,6437,98,4034,0.5,100,100,1000,1
4598,32,5092,0.5,100,100,1000,6961,74,9205,0.57,164,126,1137,5227,67,3445,0.5,100,100,1000,6324,86,6001,0.5,100,100,1000,5776,2,7121,0.5,100,100,1000,6777,96,8457,0.5,100,100,1000,3903,51,6403,0.5,100,100,1000,11122,138,13567,0.5,100,100,1000,3553,13,3716,0.5,100,100,1000,6863,110,7862,0.52,504,463,1003,0
11196,92,15947,0.55,274,222,1060,17434,93,39425,0.5,100,100,1000,14795,39,24342,0.5,100,100,1000,14527,63,37262,0.55,222,182,982,14365,106,38400,0.53,457,399,1561,13087,20,24795,0.6,128,84,1363,13592,30,22017,0.5,100,100,1000,16719,51,38299,0.58,179,128,1282,9279,98,7923,0.54,261,226,1003,9215,101,9014,0.54,261,221,1017,0
