TeamBlueTopChampionName,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopChampionName,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleChampionName,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleChampionName,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidChampionName,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidChampionName,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCChampionName,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCChampionName,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportChampionName,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportChampionName,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints
4,0.6,200,131,1151,117,0.56,233,184,1370,143,0.56,211,167,1280,136,0.5,100,100,1000,124,0.5,100,100,1000,8,0.53,442,397,1193,26,0.58,271,196,1868,9,0.5,100,100,1000,82,0.54,210,179,1109,84,0.58,200,143,1341
40,0.55,289,240,1223,48,0.5,100,100,1000,93,0.57,214,162,1514,63,0.5,100,100,1000,96,0.5,100,100,1000,33,0.5,100,100,1000,159,0.5,100,100,1000,135,0.52,456,414,1107,72,0.5,100,100,1000,15,0.5,100,100,1000
64,0.5,100,100,1000,52,0.5,100,100,1000,88,0.5,100,100,1000,86,0.53,423,379,1064,124,0.5,100,100,1000,131,0.57,165,127,1079,111,0.5,100,100,1000,51,0.5,100,100,1000,110,0.53,216,192,1005,84,0.5,100,100,1000
55,0.56,190,150,1043,61,0.5,100,100,1000,47,0.5,100,100,1000,63,0.5,100,100,1000,134,0.65,93,49,1309,58,0.5,100,100,1000,51,0.5,100,100,1000,53,0.55,240,197,1231,130,0.5,100,100,1000,15,0.52,504,463,1003
117,0.5,100,100,1000,43,0.5,100,100,1000,29,0.5,100,100,1000,67,0.5,100,100,1000,93,0.5,100,100,1000,11,0.5,100,100,1000,51,0.5,100,100,1000,159,0.57,270,203,1555,130,0.63,186,111,1702,15,0.58,132,97,1108
154,0.5,100,100,1000,61,0.58,119,87,1042,88,0.62,117,72,1006,152,0.5,100,100,1000,55,0.5,100,100,1000,58,0.5,100,100,1000,51,0.5,100,100,1000,138,0.57,165,127,1079,120,0.5,100,100,1000,95,0.54,267,224,1126
38,0.5,100,100,1000,106,0.5,100,100,1000,60,0.54,369,317,1010,63,0.5,100,100,1000,8,0.5,100,100,1000,157,0.5,100,100,1000,139,0.5,100,100,1000,159,0.54,274,232,1101,78,0.5,100,100,1000,120,0.5,100,100,1000
155,0.5,100,100,1000,117,0.5,100,100,1000,128,0.5,100,100,1000,47,0.5,100,100,1000,2,0.5,100,100,1000,162,0.5,100,100,1000,42,0.54,253,214,1010,50,0.5,100,100,1000,5,0.5,100,100,1000,10,0.5,100,100,1000
21,0.58,139,102,1004,48,0.5,100,100,1000,45,0.52,482,444,1089,56,0.5,100,100,1000,127,0.5,100,100,1000,153,0.5,100,100,1000,9,0.6,122,80,1013,51,0.5,100,100,1000,130,0.53,334,299,942,72,0.5,100,100,1000
52,0.54,261,224,1008,154,0.5,100,100,1000,39,0.56,167,133,1007,47,0.5,100,100,1000,158,0.5,100,100,1000,70,0.53,351,311,1195,160,0.5,100,100,1000,150,0.5,100,100,1000,110,0.6,84,57,1192,98,0.5,100,100,1000
8,0.5,100,100,1000,133,0.66,134,70,1437,24,0.59,76,53,987,86,0.53,457,399,1561,117,0.5,100,100,1000,158,0.5,100,100,1000,150,0.57,270,203,1555,71,0.5,100,100,1000,98,0.5,100,100,1000,82,0.55,282,228,1597
116,0.52,347,314,1078,61,0.59,123,84,1129,47,0.58,174,127,1230,143,0.54,371,316,1575,64,0.5,100,100,1000,66,0.5,100,100,1000,159,0.5,100,100,1000,30,0.54,217,183,1043,55,0.52,504,463,1003,98,0.54,261,221,1017
48,0.53,342,308,1116,52,0.62,131,80,1198,38,0.5,100,100,1000,88,0.53,236,210,932,49,0.54,180,153,1011,4,0.5,100,100,1000,30,0.54,222,188,1100,160,0.5,100,100,1000,13,0.5,100,100,1000,110,0.52,504,463,1003
90,0.55,205,171,1021,106,0.53,457,399,1561,63,0.5,100,100,1000,62,0.57,271,204,1286,2,0.5,100,100,1000,49,0.55,191,154,1003,150,0.57,231,177,1670,138,0.55,240,197,1231,84,0.55,305,252,1424,98,0.5,100,100,1000
38,0.53,290,259,941,106,0.5,100,100,1000,41,0.55,240,200,1192,67,0.5,100,100,1000,91,0.56,145,112,1206,124,0.5,100,100,1000,9,0.59,120,85,1053,150,0.57,231,177,1670,130,0.55,305,252,1424,15,0.53,382,345,1223
117,0.5,100,100,1000,40,0.53,269,235,1091,86,0.53,423,379,1064,158,0.54,325,274,1299,96,0.5,100,100,1000,61,0.55,361,299,1656,150,0.57,162,124,1206,51,0.5,100,100,1000,15,0.54,333,280,1367,130,0.53,347,311,1039
49,0.5,100,100,1000,72,0.5,100,100,1000,86,0.5,100,100,1000,60,0.5,100,100,1000,158,0.5,100,100,1000,153,0.5,100,100,1000,26,0.53,266,234,1011,18,0.5,100,100,1000,78,0.5,100,100,1000,15,0.5,100,100,1000
44,0.52,328,297,1083,52,0.53,290,259,941,62,0.54,315,272,1178,152,0.54,231,193,1217,38,0.55,234,195,1312,162,0.5,100,100,1000,26,0.5,100,100,1000,150,0.6,84,57,1192,84,0.54,259,219,1058,98,0.54,261,221,1017
48,0.53,342,308,1116,90,0.55,205,171,1021,152,0.62,93,58,1012,56,0.5,100,100,1000,2,0.56,231,184,1377,96,0.5,100,100,1000,26,0.5,100,100,1000,9,0.57,231,177,1670,73,0.5,100,100,1000,84,0.5,100,100,1000
49,0.53,290,259,941,74,0.5,100,100,1000,67,0.5,100,100,1000,47,0.52,400,364,1111,2,0.5,100,100,1000,116,0.5,100,100,1000,9,0.5,100,100,1000,50,0.5,100,100,1000,130,0.53,334,299,942,98,0.5,100,100,1000
43,0.5,100,100,1000,93,0.57,214,162,1514,63,0.5,100,100,1000,29,0.5,100,100,1000,20,0.52,412,380,1067,146,0.5,100,100,1000,135,0.5,100,100,1000,51,0.52,456,414,1107,144,0.5,100,100,1000,98,0.5,100,100,1000
48,0.66,134,70,1437,61,0.53,269,235,1091,60,0.63,206,123,1240,47,0.57,271,204,1286,123,0.54,180,153,1011,140,0.5,100,100,1000,138,0.55,240,197,1231,150,0.5,100,100,1000,98,0.62,124,75,1388,15,0.56,234,181,1035
49,0.5,100,100,1000,38,0.53,269,235,1091,41,0.5,100,100,1000,77,0.5,100,100,1000,56,0.5,100,100,1000,73,0.5,100,100,1000,150,0.52,456,414,1107,138,0.52,393,369,1045,157,0.5,100,100,1000,95,0.5,100,100,1000
74,0.5,100,100,1000,55,0.5,100,100,1000,67,0.5,100,100,1000,143,0.5,100,100,1000,58,0.5,100,100,1000,70,0.54,210,179,1109,138,0.5,100,100,1000,150,0.5,100,100,1000,98,0.5,100,100,1000,6,0.59,111,78,1098
52,0.53,290,259,941,90,0.5,100,100,1000,60,0.54,369,317,1010,67,0.5,100,100,1000,11,0.5,100,100,1000,70,0.5,100,100,1000,150,0.5,100,100,1000,53,0.53,351,308,1225,110,0.5,100,100,1000,84,0.5,100,100,1000
114,0.5,100,100,1000,105,0.64,136,75,1434,29,0.5,100,100,1000,89,0.5,100,100,1000,123,0.74,80,28,1106,2,0.5,100,100,1000,51,0.5,100,100,1000,54,0.5,100,100,1000,130,0.5,100,100,1000,15,0.5,100,100,1000
36,0.5,100,100,1000,43,0.5,100,100,1000,31,0.5,100,100,1000,14,0.54,369,317,1010,116,0.5,100,100,1000,124,0.5,100,100,1000,135,0.5,100,100,1000,56,0.54,242,208,1009,98,0.5,100,100,1000,13,0.57,119,89,982
61,0.5,100,100,1000,47,0.5,100,100,1000,14,0.5,100,100,1000,67,0.53,291,261,1003,158,0.5,100,100,1000,38,0.57,277,209,1373,150,0.55,296,241,1195,51,0.58,212,152,1389,98,0.54,259,222,1234,102,0.5,100,100,1000
117,0.5,100,100,1000,93,0.5,100,100,1000,60,0.5,100,100,1000,86,0.5,100,100,1000,61,0.5,100,100,1000,124,0.56,228,181,1329,51,0.5,100,100,1000,9,0.5,100,100,1000,125,0.5,100,100,1000,130,0.5,100,100,1000
117,0.53,434,379,1542,105,0.5,100,100,1000,60,0.5,100,100,1000,152,0.5,100,100,1000,124,0.5,100,100,1000,116,0.52,347,314,1078,26,0.63,131,76,1228,53,0.57,194,148,1187,15,0.5,100,100,1000,84,0.58,137,98,1013
