TeamBlueTopChampionName,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopChampionName,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleChampionName,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleChampionName,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidChampionName,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidChampionName,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCChampionName,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCChampionName,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportChampionName,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportChampionName,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,GoldBalanceTop,GoldBalanceJungle,GoldBalanceMid,GoldBalanceADC,GoldBalanceSupport,DamageBalanceTop,DamageBalanceJungle,DamageBalanceMid,DamageBalanceADC,DamageBalanceSupport
90,0.5,100,100,1000,92,0.55,274,222,1060,48,0.51,437,413,1074,67,0.5,100,100,1000,124,0.5,100,100,1000,2,0.5,100,100,1000,159,0.5,100,100,1000,118,0.5,100,100,1000,15,0.5,100,100,1000,130,0.5,100,100,1000,5988,-482,1725,-255,270,17107,-1890,9983,4849,-3173
105,0.64,136,75,1434,49,0.56,211,167,1234,28,0.5,100,100,1000,143,0.5,100,100,1000,2,0.52,419,380,1212,140,0.53,406,363,1246,159,0.55,220,180,1077,139,0.5,100,100,1000,121,0.5,100,100,1000,55,0.5,100,100,1000,1109,4949,3151,1800,1957,-2039,5903,13604,4589,-12556
90,0.53,320,285,1092,48,0.5,100,100,1000,143,0.55,222,182,982,39,0.5,100,100,1000,2,0.5,100,100,1000,126,0.56,260,204,1534,51,0.5,100,100,1000,56,0.5,100,100,1000,17,0.71,66,27,1010,84,0.5,100,100,1000,1479,1081,4969,2509,2513,13684,7385,5562,-11296,4746
154,0.5,100,100,1000,38,0.53,320,285,1092,39,0.53,366,326,1033,24,0.5,100,100,1000,112,0.5,100,100,1000,153,0.5,100,100,1000,30,0.5,100,100,1000,53,0.55,165,136,1027,42,0.5,100,100,1000,84,0.5,100,100,1000,-4189,-3654,-1522,-2065,1065,-16043,-10784,-3163,-5898,15927
105,0.5,100,100,1000,93,0.53,269,235,1091,143,0.5,100,100,1000,149,0.54,270,234,1229,89,0.5,100,100,1000,11,0.5,100,100,1000,150,0.53,349,314,1194,87,0.5,100,100,1000,110,0.5,100,100,1000,13,0.53,290,253,1231,191,3019,-1173,3492,2850,-6685,4048,-85,12562,1754
35,0.55,215,175,1086,61,0.5,100,100,1000,129,0.53,457,399,1561,47,0.5,100,100,1000,2,0.5,100,100,1000,131,0.58,132,96,1015,26,0.5,100,100,1000,9,0.57,270,203,1555,102,0.5,100,100,1000,125,0.5,100,100,1000,2021,697,665,10807,843,-1920,3789,-3758,30930,-325
83,0.5,100,100,1000,105,0.5,100,100,1000,47,0.5,100,100,1000,127,0.5,100,100,1000,154,0.5,100,100,1000,124,0.5,100,100,1000,51,0.5,100,100,1000,30,0.6,122,81,1110,42,0.5,100,100,1000,130,0.5,100,100,1000,-1233,-1697,-828,195,2684,-2481,-10183,-4204,-17598,14604
52,0.5,100,100,1000,40,0.58,205,149,1335,67,0.5,100,100,1000,62,0.53,236,210,932,34,0.54,174,149,1002,124,0.5,100,100,1000,51,0.5,100,100,1000,30,0.5,100,100,1000,78,0.5,100,100,1000,98,0.5,100,100,1000,-4341,3104,-4975,2027,503,-24695,12957,-8277,2129,-314
52,0.5,100,100,1000,59,0.5,100,100,1000,143,0.5,100,100,1000,63,0.5,100,100,1000,158,0.5,100,100,1000,55,0.54,274,232,1101,56,0.54,301,252,1013,9,0.5,100,100,1000,84,0.5,100,100,1000,130,0.5,100,100,1000,-4798,-3280,3449,-4971,-1490,-18959,-6095,10722,10189,-2792
40,0.5,100,100,1000,155,0.5,100,100,1000,38,0.5,100,100,1000,31,0.5,100,100,1000,127,0.5,100,100,1000,96,0.5,100,100,1000,10,0.5,100,100,1000,21,0.53,297,266,1053,78,0.5,100,100,1000,110,0.5,100,100,1000,-3928,2382,4234,7263,1644,-4657,3767,14611,22589,-2932
38,0.52,303,279,1018,105,0.5,100,100,1000,39,0.58,119,87,1042,47,0.5,100,100,1000,131,0.52,412,380,1067,57,0.5,100,100,1000,30,0.55,445,371,1847,56,0.5,100,100,1000,162,0.5,100,100,1000,110,0.58,132,97,1108,2805,3300,7716,30,-911,3419,11186,19515,-9820,-2867
35,0.53,290,259,941,129,0.5,100,100,1000,67,0.53,457,399,1561,127,0.53,442,397,1193,162,0.5,100,100,1000,92,0.52,303,279,1018,159,0.54,256,217,1026,51,0.61,123,79,1050,98,0.5,100,100,1000,93,0.57,277,209,1373,-2485,-1245,196,-4352,-4562,-6812,24,8715,-6631,-18368
61,0.58,205,149,1335,49,0.57,239,179,1522,67,0.56,156,122,1098,24,0.54,250,213,1320,126,0.56,260,204,1534,96,0.5,100,100,1000,150,0.53,349,314,1194,159,0.55,254,211,1401,130,0.55,280,233,1516,98,0.54,353,296,1258,-3429,-2679,-854,-2454,-1667,-11059,-6634,2275,-10069,2871
92,0.62,98,61,1018,123,0.5,100,100,1000,41,0.54,214,184,999,104,0.54,230,195,1002,73,0.5,100,100,1000,3,0.5,100,100,1000,150,0.5,100,100,1000,9,0.52,296,269,1098,15,0.5,100,100,1000,130,0.5,100,100,1000,3489,-343,37,5132,-412,8697,2907,3176,-318,-634
103,0.56,197,155,1054,23,0.5,100,100,1000,86,0.5,100,100,1000,14,0.54,250,213,1320,127,0.5,100,100,1000,124,0.5,100,100,1000,9,0.58,212,152,1389,159,0.57,162,124,1206,130,0.55,280,233,1516,72,0.5,100,100,1000,-2806,-1394,3004,2460,926,-9009,-10421,-1394,14030,46
90,0.53,320,285,1092,52,0.5,100,100,1000,67,0.5,100,100,1000,38,0.5,100,100,1000,33,0.55,156,129,1013,49,0.55,234,195,1312,51,0.5,100,100,1000,159,0.55,155,126,979,95,0.5,100,100,1000,156,0.5,100,100,1000,6782,2928,1735,819,1826,14575,-1510,-3674,-1122,1119
93,0.5,100,100,1000,105,0.64,136,75,1434,28,0.5,100,100,1000,143,0.5,100,100,1000,2,0.5,100,100,1000,34,0.5,100,100,1000,9,0.5,100,100,1000,51,0.5,100,100,1000,98,0.59,152,106,1021,130,0.5,100,100,1000,2554,3059,5446,1049,2179,9523,7860,10489,-5482,498
106,0.5,100,100,1000,38,0.5,100,100,1000,14,0.53,297,266,1053,77,0.5,100,100,1000,74,0.56,131,101,1044,131,0.5,100,100,1000,160,0.5,100,100,1000,26,0.5,100,100,1000,112,0.5,100,100,1000,101,0.5,100,100,1000,1957,2679,2265,-3685,763,7319,6049,12647,-4536,1412
117,0.5,100,100,1000,40,0.55,205,171,1021,86,0.56,201,157,1076,38,0.5,100,100,1000,96,0.5,100,100,1000,62,0.5,100,100,1000,54,0.5,100,100,1000,9,0.5,100,100,1000,84,0.5,100,100,1000,130,0.55,226,185,1099,-710,459,-2789,-7298,-2750,-5089,-2748,-6481,-22866,-4060
4,0.6,200,131,1151,117,0.56,233,184,1370,143,0.56,211,167,1280,136,0.5,100,100,1000,124,0.5,100,100,1000,8,0.53,442,397,1193,26,0.58,271,196,1868,9,0.5,100,100,1000,82,0.54,210,179,1109,84,0.58,200,143,1341,735,-2914,5592,4053,-1006,6857,-20675,33017,21259,1653
40,0.55,289,240,1223,48,0.5,100,100,1000,93,0.57,214,162,1514,63,0.5,100,100,1000,96,0.5,100,100,1000,33,0.5,100,100,1000,159,0.5,100,100,1000,135,0.52,456,414,1107,72,0.5,100,100,1000,15,0.5,100,100,1000,1664,882,3841,-1529,649,-808,2623,5804,-1194,-584
64,0.5,100,100,1000,52,0.5,100,100,1000,88,0.5,100,100,1000,86,0.53,423,379,1064,124,0.5,100,100,1000,131,0.57,165,127,1079,111,0.5,100,100,1000,51,0.5,100,100,1000,110,0.53,216,192,1005,84,0.5,100,100,1000,-3341,-3589,-6535,-716,451,-3131,-6871,-6364,-3108,5727
55,0.56,190,150,1043,61,0.5,100,100,1000,47,0.5,100,100,1000,63,0.5,100,100,1000,134,0.65,93,49,1309,58,0.5,100,100,1000,51,0.5,100,100,1000,53,0.55,240,197,1231,130,0.5,100,100,1000,15,0.52,504,463,1003,981,3263,3646,125,-1427,5296,1499,2142,644,-1672
