TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
5675,38,6148,110,69,1145,5498,129,8572,100,100,1000,5931,67,5617,100,100,1000,7052,106,10291,437,413,1074,5599,2,8460,100,100,1000,6088,44,6051,100,100,1000,5716,159,7640,100,100,1000,8760,9,15531,165,130,1007,4862,98,5143,282,228,1597,5725,161,4076,100,100,1000,0
14142,49,22686,100,100,1000,16700,48,22862,100,100,1000,12140,69,9828,100,100,1000,19681,62,41615,100,100,1000,16430,66,39623,224,178,1019,11153,8,15090,100,100,1000,12512,139,18640,100,100,1000,13693,65,15866,100,100,1000,9194,72,5357,100,100,1000,9345,84,6358,100,100,1000,0
8874,49,15228,100,100,1000,9462,19,11544,100,100,1000,10228,149,9852,100,100,1000,9587,88,9557,442,397,1193,9886,140,8271,258,203,1480,8091,142,10196,207,159,1209,9486,9,8466,162,124,1206,7739,150,11009,188,147,1195,6909,130,6223,347,311,1039,5581,8,6119,100,100,1000,1
19449,105,25532,100,100,1000,14757,21,17435,100,100,1000,13556,56,35833,100,100,1000,19294,41,33089,100,100,1000,20424,158,47964,100,100,1000,15229,154,19124,434,379,1542,13010,140,13326,185,148,1161,21592,9,39102,100,100,1000,10545,95,8447,100,100,1000,10728,130,7480,100,100,1000,0
6856,61,12402,134,70,1437,4805,148,4091,416,380,1046,6780,123,4683,100,100,1000,4588,149,3648,100,100,1000,6989,158,5733,100,100,1000,5966,2,4649,100,100,1000,6622,159,7013,100,100,1000,4761,51,4765,100,100,1000,4828,72,3390,100,100,1000,3180,78,1314,100,100,1000,1
7397,74,11997,106,63,1070,4362,123,4964,100,100,1000,6157,38,5876,100,100,1000,5515,86,6067,457,399,1561,8757,131,13522,277,209,1373,4684,4,8606,100,100,1000,5240,51,3789,233,186,1219,6544,71,7743,162,124,1206,4450,72,4446,131,71,1164,3910,82,2657,203,172,1100,1
13910,48,26481,100,100,1000,19785,36,37135,100,100,1000,21178,144,41037,100,100,1000,16813,136,39337,100,100,1000,12230,123,23074,100,100,1000,15215,111,30850,100,100,1000,19364,10,34693,100,100,1000,17608,138,37658,438,391,1173,10555,5,11755,100,100,1000,10248,98,14050,423,379,1064,0
10474,23,13518,100,100,1000,8091,142,12450,100,100,1000,9532,67,11392,291,261,1003,11494,86,19450,100,100,1000,7671,74,17050,100,100,1000,10926,36,17193,147,90,1014,12513,56,28541,100,100,1000,14632,150,25791,100,100,1000,7570,98,5611,100,100,1000,6868,17,6248,100,100,1000,0
13201,52,14516,261,224,1008,14898,90,28888,100,100,1000,19381,88,39431,100,100,1000,15544,136,36025,100,100,1000,17035,140,42192,100,100,1000,16369,142,31303,100,100,1000,12195,138,28248,233,186,1219,12793,150,22778,100,100,1000,9402,15,13472,100,100,1000,8884,98,8738,226,185,1099,1
12752,90,23907,320,285,1092,13177,106,27133,100,100,1000,14719,47,22115,222,182,982,11794,143,15057,247,202,1313,12696,38,32028,100,100,1000,12162,93,30159,100,100,1000,15491,138,29025,100,100,1000,10989,30,30051,100,100,1000,9152,84,13026,172,146,1004,7795,98,7441,100,100,1000,1
8006,43,11831,100,100,1000,9207,40,14679,100,100,1000,7031,109,8866,100,100,1000,12112,63,18313,100,100,1000,11257,11,19356,100,100,1000,9559,20,18844,100,100,1000,14976,51,35574,100,100,1000,9498,30,16308,222,188,1100,7635,72,5867,100,100,1000,6787,5,6705,100,100,1000,1
12647,23,21272,269,235,1091,10919,49,16593,211,167,1234,15359,62,21524,100,100,1000,11332,38,17926,110,67,1041,10207,134,15670,361,299,1656,8001,74,15870,371,316,1575,14468,138,28191,100,100,1000,8390,71,14317,100,100,1000,8404,15,12461,280,233,1516,6135,82,7114,284,240,1275,1
8362,117,15597,100,100,1000,15798,36,27959,100,100,1000,12388,144,15484,100,100,1000,12251,149,18203,100,100,1000,15024,134,23619,203,169,1002,11380,42,38840,174,135,1177,14194,150,33776,188,147,1195,14707,54,28123,163,124,1141,7418,98,6039,100,100,1000,10077,61,21246,280,233,1516,0
9917,36,12575,140,98,1100,11301,74,14166,149,120,1098,9659,144,10028,100,100,1000,11974,63,15752,222,182,982,8471,124,15219,100,100,1000,12121,7,16163,107,62,1136,11292,159,15875,231,177,1670,13595,150,23374,100,100,1000,6741,72,7850,100,100,1000,8579,98,6252,200,143,1341,0
14892,25,34431,100,100,1000,12689,21,24369,100,100,1000,17284,104,23229,244,211,1080,9345,89,9309,100,100,1000,10334,162,21197,100,100,1000,12224,2,19075,100,100,1000,16651,131,32409,100,100,1000,15247,159,18865,100,100,1000,7898,98,5990,100,100,1000,9603,120,10924,100,100,1000,1
7619,32,9721,136,75,1434,7684,19,6823,306,273,1038,6672,109,6640,504,463,1003,9477,136,13930,100,100,1000,6725,93,10261,100,100,1000,8001,131,10143,296,269,1098,6961,56,10677,100,100,1000,12097,51,15501,100,100,1000,4133,120,4013,100,100,1000,5577,130,5017,172,138,1014,0
